MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          SoilIndex   
12.12       66.17       0.9985      0.2885      1.649       67.58       16.9        0.007532    0.7513      0.4374      1.062       1           
5.988       60.26       0.9926      0.1303      1.572       88.51       22.13       0.009891    0.7255      0.3525      0.4158      1           
0.5198      44.25       0.9833      0.3933      1.583       62.09       15.52       0.007762    0.6254      0.549       0.1102      1           
2.045       69.5        0.959       0.1765      1.301       27.07       6.768       0.008929    0.7807      1.345       0.6162      1           
1.963       52.1        0.9741      0.2021      1.886       86.61       21.65       0.00929     0.6231      0.9986      0.3344      1           
3.122       62.83       0.9629      0.4308      1.886       89.78       22.45       0.009991    0.7904      0.3665      0.9552      1           
0.4704      42.05       0.9805      0.4298      1.752       60.64       15.16       0.00992     0.7962      0.7183      0.3199      1           
0.7904      46.83       0.9722      0.2696      1.976       26.13       6.533       0.009365    0.621       1.528       0.3106      1           
2.412       60.6        0.981       0.4194      2.125       46.83       11.71       0.008749    0.6693      1.394       0.1548      1           
11.78       62.4        0.9773      0.4128      1.544       63.18       15.8        0.008945    0.7207      0.4018      0.7743      1           
0.6058      41.6        0.9611      0.392       1.356       78.36       19.59       0.003223    0.8386      0.824       0.7149      1           
9.726       67.12       0.962       0.1363      1.272       37          9.25        0.006427    0.6655      0.2689      1.107       1           
0.1215      45.39       0.9969      0.1354      1.422       83.61       20.9        0.007656    0.7515      0.1875      0.06454     1           
1.103       59          0.959       0.3782      1.927       43.58       10.89       0.009456    0.6577      1.316       0.9815      1           
3.187       40.62       0.9518      0.4347      1.27        84.22       21.06       0.004686    0.6419      1.127       0.6109      1           
2.558       60.95       0.9988      0.2536      2.029       47.14       11.78       0.003837    0.7452      0.2916      0.778       1           
3.183       46.91       0.96        0.1233      1.344       82.18       20.55       0.006771    0.7137      1.186       0.5668      1           
0.6852      70.39       0.9899      0.4755      1.295       87.33       21.83       0.01072     0.7543      1.104       0.7577      1           
11.56       66.32       0.9966      0.2927      1.396       84.24       21.06       0.006087    0.7807      0.3514      0.9102      1           
10.86       49.49       0.9641      0.2035      1.449       61.71       15.43       0.007641    0.7008      0.1378      0.7036      1           
13.41       65.21       0.9636      0.427       1.435       51.17       12.79       0.009673    0.7993      0.06063     0.6179      1           
0.455       32.8        0.9627      0.3525      1.29        88.34       22.09       0.008685    0.7896      1.441       0.9581      1           
4.705       46.82       0.9662      0.33        1.882       73.68       18.42       0.009757    0.8055      0.04244     0.2373      1           
3.474       70.25       0.968       0.4986      2.049       33.57       8.393       0.0104      0.7964      0.2668      1.038       1           
8.597       55          0.9688      0.2296      1.954       56.43       14.11       0.005819    0.6716      0.4746      0.6927      1           
9.089       50.13       0.9652      0.3942      1.292       49.4        12.35       0.009792    0.7531      0.3106      0.9666      1           
0.5824      70.24       0.9617      0.4805      2.106       75.03       18.76       0.006589    0.6895      0.5541      0.5385      1           
3.488       70.64       0.9529      0.418       1.493       29.73       7.433       0.004218    0.6651      0.4294      0.4993      1           
9.359       69.7        0.9534      0.3855      1.858       82.87       20.72       0.00475     0.6671      0.2452      0.6572      1           
0.4825      51.92       0.9877      0.2424      1.798       21.14       5.285       0.005406    0.6845      0.4685      0.7898      1           
0.4251      49.72       0.9506      0.4481      1.922       44.28       11.07       0.01069     0.7282      1.548       0.789       1           
0.3475      36.66       0.9864      0.4248      1.7         57.36       14.34       0.009051    0.6834      1.041       0.5495      1           
0.3484      58.15       0.9693      0.3132      2.018       75.87       18.97       0.003429    0.6957      0.6929      0.9628      1           
0.209       57.47       0.972       0.3509      1.369       34.34       8.585       0.009623    0.6425      1.814       0.5052      1           
3.171       64.08       0.9802      0.3191      1.559       34          8.5         0.007644    0.6503      0.4668      0.6242      1           
1.34        77.02       0.9563      0.3833      1.846       65.28       16.32       0.009363    0.8425      0.07178     0.3639      1           
6.257       66.99       0.9773      0.1275      1.849       50.91       12.73       0.006811    0.8046      0.6112      1.008       1           
9.012       63.58       0.9905      0.2663      1.824       44.7        11.18       0.005719    0.7776      0.6926      0.6993      1           
1.776       37.44       0.9545      0.2991      2.01        43.44       10.86       0.003499    0.7401      0.5545      0.3584      1           
2.585       48.4        0.9569      0.3224      1.236       67.7        16.92       0.007166    0.6265      0.03311     0.5709      1           
2.046       70.2        0.996       0.1626      2.097       83.92       20.98       0.004256    0.7915      1.557       0.5166      1           
10.6        59.9        0.9823      0.1016      1.332       77.97       19.49       0.005238    0.7478      0.2724      0.8563      1           
2.565       51.95       0.9562      0.2956      1.893       26.9        6.725       0.00846     0.749       0.9056      0.5401      1           
8.829       44.72       0.977       0.419       1.804       43.49       10.87       0.005184    0.6844      0.9115      0.9898      1           
13.44       53.42       0.9843      0.236       1.524       76.32       19.08       0.009521    0.7333      0.1039      1.078       1           
1.483       57.21       0.9652      0.1546      1.496       30.25       7.563       0.00711     0.6897      1.352       0.7362      1           
8.647       57.97       0.9558      0.1942      1.929       72.55       18.14       0.005887    0.679       0.7462      0.7762      1           
9.091       46.51       0.9659      0.1024      1.292       54.33       13.58       0.006458    0.6618      0.5826      1.011       1           
3.175       41.47       0.9676      0.1438      1.647       51.23       12.81       0.004171    0.6763      1.356       0.4553      1           
9.856       49.55       0.9948      0.4913      1.353       89.55       22.39       0.008108    0.6934      0.7198      0.7539      1           
5.847       50.58       0.9741      0.4749      1.641       60.74       15.19       0.006867    0.7672      0.5449      0.4106      1           
2.824       38.3        0.9794      0.3393      1.701       26.97       6.742       0.003914    0.6566      0.2353      0.8666      1           
4.691       65.45       0.9862      0.3047      1.586       51.18       12.79       0.008322    0.7212      0.4188      0.9139      1           
5.914       48.91       0.9627      0.4842      1.46        69.22       17.3        0.005713    0.7998      0.403       0.2616      1           
0.2764      78.83       0.9565      0.1304      1.488       58.38       14.6        0.004736    0.6691      0.8997      0.9552      1           
0.5714      32.11       0.9965      0.2009      2.048       37.58       9.396       0.005896    0.6837      0.8881      0.4711      1           
1.155       73.62       0.9788      0.4872      1.542       78.89       19.72       0.004795    0.8262      1.484       0.8932      1           
0.2801      39.87       0.9643      0.2935      2.027       35.52       8.88        0.007601    0.808       0.65        0.6081      1           
11.74       62.66       0.9673      0.4876      1.845       82.63       20.66       0.009945    0.7389      0.1778      0.9712      1           
3.187       43.96       0.9864      0.1004      2.029       61.94       15.49       0.003444    0.7818      1.39        0.8635      1           
0.4172      72.42       0.9811      0.3158      1.363       24.25       6.063       0.005155    0.6482      1.299       0.2639      1           
0.8307      78.77       0.9829      0.4648      1.52        42.81       10.7        0.003956    0.8393      0.4008      0.1055      1           
0.1938      56.65       0.9928      0.4987      2.005       37.79       9.446       0.005725    0.6251      1.081       0.9776      1           
0.1017      73.96       0.9799      0.1184      1.384       23.69       5.923       0.00933     0.7696      1.859       0.7908      1           
10.49       57.45       0.9979      0.3285      1.303       55.37       13.84       0.005214    0.7098      0.2066      1.135       1           
0.9728      31.83       0.9641      0.1914      1.72        84.84       21.21       0.00453     0.7848      1.23        1.003       1           
5.115       67.37       0.9562      0.2207      1.603       47.28       11.82       0.006899    0.7944      0.259       0.4241      1           
4.767       42.81       0.9524      0.3872      2.019       80.42       20.1        0.006488    0.765       0.4359      0.6492      1           
1.075       59.53       0.9758      0.4729      1.354       57.15       14.29       0.006122    0.6487      1.818       0.5766      1           
6.517       63.56       0.9522      0.1416      1.246       73.7        18.43       0.005939    0.7488      0.6967      0.7533      1           
5.082       52.85       0.9708      0.4214      1.704       74.64       18.66       0.01005     0.6946      0.1389      0.5893      1           
0.03665     58.33       0.9958      0.1043      1.483       54.61       13.65       0.009631    0.7331      0.4084      0.8926      1           
0.7516      74.05       0.9711      0.4773      2.134       27.49       6.872       0.01029     0.6393      0.5981      0.6548      1           
2.931       41.33       0.9841      0.1275      1.939       45.05       11.26       0.01061     0.6254      1.084       0.3983      1           
0.1039      53.45       0.9547      0.2844      1.619       77.9        19.47       0.00793     0.633       0.81        0.8729      1           
1.365       48.99       0.97        0.2473      1.633       27.54       6.885       0.003253    0.6608      1.28        0.7045      1           
0.4527      76.91       0.9586      0.2314      1.875       77.54       19.39       0.008344    0.7782      0.7834      0.8561      1           
3.24        36.59       0.9559      0.1143      1.246       27.78       6.946       0.006894    0.7057      1.218       0.4694      1           
0.3757      51.31       0.9614      0.4192      1.698       66.74       16.69       0.007998    0.759       1.507       0.7632      1           
10.26       68.16       0.995       0.3709      1.783       67.72       16.93       0.006091    0.6834      0.3865      0.9553      1           
1.92        57.23       0.9839      0.2512      2.141       77.06       19.27       0.008683    0.7481      0.1443      0.6234      1           
10.21       66.16       0.996       0.3046      1.83        51.5        12.88       0.006735    0.7032      0.6041      1.124       1           
0.1272      52.4        0.9881      0.3064      1.706       52.83       13.21       0.004424    0.6042      1.935       0.5574      1           
13.16       58.32       0.9643      0.1775      1.707       72.62       18.15       0.006636    0.7348      0.1058      1.118       1           
6.935       61.16       0.9808      0.4233      1.602       82.19       20.55       0.003926    0.7794      0.2458      1.011       1           
11.29       59.57       0.975       0.1152      1.715       66.26       16.56       0.007542    0.7879      0.324       0.6491      1           
11.55       49.69       0.9782      0.2987      1.389       58.28       14.57       0.009525    0.8093      0.0761      0.4301      1           
0.797       38.89       0.9576      0.2901      1.56        71.78       17.95       0.007434    0.7046      0.9385      0.05328     1           
0.4115      59.07       0.9863      0.2828      1.336       40.77       10.19       0.008795    0.6425      1.048       0.04318     1           
10.82       64.37       0.9701      0.4388      1.441       64.34       16.08       0.005015    0.77        0.3156      0.7956      1           
6.217       49.12       0.995       0.4541      1.881       50.08       12.52       0.005103    0.6794      0.4053      0.2511      1           
4.984       43.89       0.9768      0.3861      1.993       64.72       16.18       0.009339    0.8238      1.235       0.3145      1           
11.88       59.53       0.9599      0.3824      1.801       64.88       16.22       0.00956     0.7005      0.06482     0.9384      1           
5.127       50.51       0.9902      0.1588      2.015       42.34       10.59       0.007784    0.7224      0.7473      0.2754      1           
0.06121     52.28       0.969       0.2295      1.778       20.24       5.06        0.005714    0.7765      1.855       0.8086      1           
0.5217      58.96       0.9604      0.2487      2.166       34.98       8.746       0.006019    0.678       1.104       0.4374      1           
1.29        77.38       0.9567      0.3675      1.561       44.88       11.22       0.005451    0.7342      1.629       0.3091      1           
1.033       31.74       0.9521      0.4857      2.027       54.33       13.58       0.008452    0.786       1.573       0.1059      1           
0.8193      46.81       0.9675      0.252       1.849       78.56       19.64       0.004275    0.8407      0.9646      0.3364      1           
12.56       54.85       0.9542      0.1823      1.602       65.23       16.31       0.006507    0.7433      0.1184      0.6154      1           
7.491       58.38       0.9512      0.2459      1.746       83.72       20.93       0.01045     0.7322      0.8374      0.5332      1           
2.389       70.21       0.9994      0.1276      1.437       80.83       20.21       0.00933     0.6741      1.39        0.4301      1           
0.418       50.57       0.9896      0.3337      1.935       64.81       16.2        0.004721    0.7687      1.692       0.2252      1           
13.91       55.1        0.9515      0.2937      1.717       64.01       16          0.00518     0.7001      0.08517     0.706       1           
0.9         36.29       0.9505      0.1065      1.713       69.45       17.36       0.01054     0.7103      1.146       0.4466      1           
0.9093      68.84       0.9858      0.2422      1.388       58.67       14.67       0.006198    0.7524      1.479       1.006       1           
0.227       68.37       0.9652      0.1615      1.327       45.03       11.26       0.007686    0.6329      1.369       0.625       1           
2.915       62.04       0.9919      0.1376      2.097       73.38       18.34       0.003825    0.8384      0.1733      0.4336      1           
5.525       42.36       0.9991      0.1397      1.641       68.87       17.22       0.006613    0.6462      0.2136      0.3217      1           
0.1162      42.13       0.9793      0.4964      1.272       31.23       7.806       0.004142    0.7161      0.8779      0.3179      1           
0.3447      49.39       0.9744      0.3675      2.057       89.8        22.45       0.007894    0.6512      1.733       0.2667      1           
4.142       42.83       0.9614      0.1349      1.813       45.79       11.45       0.004788    0.7057      0.3488      0.9903      1           
0.7724      71.25       0.9565      0.1603      1.933       58.88       14.72       0.006504    0.6481      1.328       0.2703      1           
11.31       62.82       0.9556      0.1392      1.771       74.35       18.59       0.006728    0.6939      0.2891      0.4667      1           
0.07559     78.47       0.9509      0.2441      2.022       20.46       5.114       0.005721    0.6694      0.3304      0.3849      1           
14.86       62.63       0.9983      0.2789      1.355       88.56       22.14       0.008868    0.7744      0.1084      0.6551      1           
1.52        70.73       0.9941      0.4882      1.273       78.2        19.55       0.008859    0.6808      0.4978      0.4858      1           
5.635       53.74       0.986       0.2923      1.825       70.38       17.59       0.008002    0.7152      0.1444      1.014       1           
2.095       66.6        0.9656      0.1237      1.56        51.82       12.95       0.007631    0.7213      1.442       0.4511      1           
0.5217      75.86       0.9719      0.4024      1.378       38.92       9.73        0.01054     0.7031      1.098       0.6717      1           
0.3546      53.35       0.9626      0.1374      1.751       68.39       17.1        0.00546     0.6954      0.3867      0.5656      1           
7.182       44.19       0.993       0.1944      1.939       40.96       10.24       0.006491    0.6692      0.7331      0.8356      1           
1.912       66.39       0.9936      0.1615      1.535       83.12       20.78       0.01097     0.7303      0.4391      0.2773      1           
3.333       56.14       0.9957      0.4663      1.554       66.88       16.72       0.006382    0.8029      1.067       0.4952      1           
2.985       48.26       0.9854      0.491       1.855       75.62       18.9        0.007316    0.7286      1.067       0.8984      1           
2.524       73.26       0.9744      0.3299      1.26        40.93       10.23       0.00431     0.7065      0.6853      0.9838      1           
0.1082      68.59       0.9847      0.437       1.458       47.96       11.99       0.007789    0.7696      0.3389      0.82        1           
4.052       66.87       0.972       0.2307      1.463       81.4        20.35       0.007913    0.751       1.093       0.514       1           
0.2996      35.18       0.9926      0.4579      2.167       65.21       16.3        0.008183    0.621       0.5513      0.3537      1           
1.886       36.59       0.9589      0.364       1.794       51          12.75       0.004922    0.8218      0.7022      0.4553      1           
12.87       65.55       0.9552      0.2864      1.502       56.75       14.19       0.005116    0.6905      0.1565      0.6181      1           
11.1        51.46       0.9826      0.3708      1.67        71.14       17.78       0.007784    0.8031      0.5212      0.5964      1           
1.012       58.51       0.9939      0.1292      1.847       89.65       22.41       0.008789    0.828       1.546       0.45        1           
7.449       42.67       0.9913      0.2604      1.82        51.82       12.95       0.00411     0.7573      1.023       0.921       1           
0.4787      37.4        0.9651      0.3092      2.091       79.92       19.98       0.008875    0.8451      0.08422     0.01649     1           
3.559       42.56       0.9876      0.1876      1.763       47.24       11.81       0.006867    0.6368      1.415       0.6412      1           
9.103       66.84       0.9638      0.1054      1.731       56.84       14.21       0.005257    0.7592      0.4919      0.6121      1           
0.512       33.38       0.9975      0.475       1.559       83.52       20.88       0.004942    0.7701      1.518       0.8205      1           
2.968       74.24       0.9712      0.3724      1.589       59.12       14.78       0.007266    0.6525      1.245       0.1687      1           
2.098       44.56       0.9811      0.2281      1.769       44.59       11.15       0.008464    0.8332      1.531       0.5359      1           
1.912       43.27       0.9779      0.2904      1.637       83.59       20.9        0.007057    0.6501      1.056       0.4053      1           
11.25       59.57       0.9747      0.4555      1.462       54.05       13.51       0.005032    0.7212      0.08955     0.6444      1           
7.9         43.37       0.9555      0.2012      1.522       61.76       15.44       0.009136    0.7293      0.8241      0.8004      1           
4.585       40.31       0.9646      0.4349      1.74        66.95       16.74       0.005254    0.7758      0.07932     0.5022      1           
7.367       53.64       0.968       0.2047      1.81        40.55       10.14       0.006425    0.7225      1.008       1.026       1           
5.712       63.13       0.9972      0.3299      1.487       30.99       7.747       0.008766    0.7515      1.118       0.3386      1           
0.05512     34.73       0.9531      0.1911      1.642       57.71       14.43       0.007957    0.683       0.6981      0.2211      1           
5.658       62.08       0.9716      0.4132      1.697       37.21       9.301       0.007993    0.7187      0.9434      0.6949      1           
0.319       53.14       0.9882      0.3755      2.091       74.63       18.66       0.009451    0.6465      0.5587      0.4436      1           
2.371       43.13       0.9857      0.4864      1.389       38.43       9.607       0.008955    0.7384      0.95        0.3122      1           
0.9877      63.12       0.9825      0.2532      1.616       89          22.25       0.004165    0.6313      0.05374     0.1703      1           
1.999       40.67       0.9925      0.399       1.551       42.11       10.53       0.009222    0.7163      0.1315      0.894       1           
7.878       62          0.9824      0.1833      1.787       83.07       20.77       0.007458    0.7822      0.7486      0.623       1           
7.861       45.3        0.9991      0.1702      1.451       34.34       8.586       0.01041     0.706       0.5531      0.5387      1           
0.4107      64.61       0.9797      0.4862      1.523       87.08       21.77       0.004737    0.6564      0.003948    0.8958      1           
1.141       43.63       0.9878      0.1429      1.439       40.09       10.02       0.008531    0.8231      1.118       0.9376      1           
14.36       58.21       0.992       0.4374      1.579       55.03       13.76       0.009562    0.768       0.1998      1.073       1           
14.36       54.84       0.9839      0.2193      1.776       72.53       18.13       0.005421    0.741       0.2564      0.9381      1           
8.256       60.47       0.9931      0.4075      1.43        42.34       10.58       0.009992    0.7595      0.1106      1.028       1           
6.524       57.37       0.9664      0.2903      1.423       49.34       12.33       0.01015     0.6931      0.2014      1.004       1           
1.159       48.55       0.9793      0.405       1.594       54.27       13.57       0.009788    0.7661      0.4411      0.9641      1           
7.987       56.78       0.9735      0.1778      1.437       67.56       16.89       0.008737    0.6808      0.1074      0.5385      1           
0.4759      54.69       0.965       0.4286      1.924       86.93       21.73       0.003862    0.6451      0.9213      0.1538      1           
7.674       53.55       0.9687      0.4166      1.639       37.6        9.4         0.004895    0.774       0.7141      0.5384      1           
1.492       43.63       0.9795      0.2136      1.99        55.86       13.96       0.008112    0.6949      0.5885      0.7259      1           
8.411       53.26       0.9578      0.4195      1.969       84.17       21.04       0.005674    0.7302      0.1696      0.7687      1           
7.077       72.87       0.9978      0.2796      1.401       88.59       22.15       0.006475    0.8065      0.2146      0.2499      1           
0.6931      76.19       0.987       0.3985      1.714       25.65       6.414       0.007947    0.8213      0.09815     0.5485      1           
3.908       74.82       0.987       0.3522      1.889       64.76       16.19       0.003847    0.6584      0.8122      0.824       1           
13.66       54.68       0.9705      0.1484      1.461       82.94       20.73       0.009669    0.7659      0.0509      0.9444      1           
1.874       49.36       0.978       0.4919      1.548       86.48       21.62       0.009443    0.6195      0.8811      0.2761      1           
8.46        61.43       0.964       0.3017      1.607       60.53       15.13       0.008751    0.6825      0.6709      0.6651      1           
10.5        67.83       0.9699      0.4009      1.72        74.74       18.69       0.009557    0.6729      0.231       0.4866      1           
4.287       73.92       0.9902      0.1508      1.887       75.56       18.89       0.00489     0.6487      0.3932      0.6466      1           
4.485       71.63       0.9798      0.2093      1.233       34.29       8.572       0.004826    0.78        0.7544      0.3441      1           
0.4969      56.88       0.9612      0.3657      1.784       89.87       22.47       0.003352    0.6712      1.667       0.9744      1           
0.213       52.27       0.9599      0.49        1.679       46.55       11.64       0.007631    0.7751      1.26        0.6287      1           
1.271       73.41       0.9543      0.4158      1.746       42.71       10.68       0.005759    0.8084      1.284       0.0848      1           
7.54        54.9        0.9686      0.4074      1.762       49.26       12.32       0.005919    0.7799      1.007       0.3975      1           
4.686       47.99       0.9558      0.2879      2.052       31.46       7.865       0.009675    0.7491      0.6915      0.1828      1           
1.211       63.57       0.9804      0.1204      1.734       53.01       13.25       0.006351    0.6246      0.06461     0.06244     1           
4.351       66.88       0.995       0.494       1.43        46.18       11.54       0.003759    0.8336      0.8574      0.9091      1           
1.028       72.19       0.9616      0.4318      1.334       74.74       18.69       0.008825    0.6669      1.269       0.4432      1           
0.05813     56.29       0.9523      0.1848      1.341       21.59       5.397       0.003535    0.6205      1.878       0.08746     1           
11.57       60.69       0.9822      0.4135      1.681       63.07       15.77       0.006814    0.7872      0.4556      0.6571      1           
13.65       64.74       0.9727      0.2886      1.82        50.52       12.63       0.009768    0.6968      0.1453      0.801       1           
0.729       74.09       0.9828      0.173       1.621       35.46       8.864       0.004548    0.7849      1.435       0.2569      1           
0.7997      67.57       0.9701      0.4178      2.104       33.99       8.498       0.006648    0.6071      1.318       0.4635      1           
0.1404      72.39       0.9996      0.3698      1.798       28.58       7.144       0.009748    0.7046      1.001       0.09061     1           
13.95       57.12       0.9804      0.1332      1.667       82.47       20.62       0.008411    0.7688      0.2215      0.7618      1           
5.624       60.12       0.9715      0.2026      1.915       30.85       7.713       0.006178    0.6582      1.169       0.4585      1           
0.6152      61          0.9539      0.3561      1.723       40.25       10.06       0.007639    0.7241      0.3464      0.9255      1           
0.4084      78.71       0.9862      0.3699      1.898       61.92       15.48       0.006378    0.7536      1.604       0.8153      1           
0.2515      64.5        0.9951      0.1965      1.789       72.15       18.04       0.009191    0.7054      0.6616      0.183       1           
11.31       50.41       0.9905      0.1308      1.716       47.5        11.88       0.007669    0.7994      0.2408      1.03        1           
2.247       66.91       0.9609      0.4031      1.668       64.37       16.09       0.008636    0.6366      1.722       0.3002      1           
3.767       50.29       0.9739      0.3569      1.936       77.47       19.37       0.006147    0.7453      1.087       0.5801      1           
5.363       39.45       0.9629      0.3964      1.877       37.53       9.383       0.01048     0.8204      0.6364      0.6651      1           
0.5231      45.86       0.9854      0.108       1.902       57.13       14.28       0.01063     0.6118      0.799       0.1816      1           
3.677       63.57       0.9811      0.3697      1.581       29.09       7.273       0.007515    0.6518      0.7817      0.6079      1           
0.5836      36.66       0.9596      0.4256      1.317       70.3        17.58       0.004251    0.7255      1.492       0.4308      1           
0.3514      42.77       0.9994      0.2454      1.612       29.43       7.358       0.009292    0.7868      0.3384      0.9469      1           
0.9131      59.93       0.9809      0.3016      1.372       49.69       12.42       0.007029    0.6459      0.01879     0.5742      1           
0.3184      63.29       0.9864      0.3318      1.577       63.52       15.88       0.005689    0.7939      0.8562      0.1579      1           
0.7861      34.7        0.9922      0.4937      1.875       40.61       10.15       0.003523    0.8133      1.533       0.905       1           
1.754       64.46       0.9921      0.1288      1.846       83.09       20.77       0.007879    0.6785      0.8368      0.3658      1           
8.993       69.61       0.9712      0.2969      1.847       64.92       16.23       0.005033    0.7778      0.398       0.4678      1           
11.34       66.01       0.9864      0.4057      1.723       52.36       13.09       0.007122    0.7247      0.1632      0.3823      1           
7.142       47.02       0.9609      0.344       1.768       45.68       11.42       0.007534    0.7786      0.7622      0.4385      1           
7.414       59.46       0.9965      0.4984      1.801       81.12       20.28       0.006093    0.7321      0.3998      0.6773      1           
0.7109      78.64       0.9609      0.3379      1.601       24.87       6.218       0.004714    0.7351      0.8936      0.7806      1           
5.95        42.23       0.9824      0.2591      1.334       44.02       11          0.008956    0.7525      0.533       0.294       1           
0.106       43.39       0.9741      0.2031      1.288       49.58       12.39       0.003707    0.6547      0.665       0.5678      1           
1.049       65.3        0.9815      0.1503      1.614       53.02       13.26       0.008904    0.659       1.266       0.8315      1           
1.856       54.99       0.9706      0.3468      1.541       23.82       5.954       0.01089     0.7761      0.4691      0.09754     1           
6.062       52.19       0.9617      0.224       1.608       47.15       11.79       0.009466    0.7228      1.206       0.2908      1           
3.247       46.94       0.9594      0.4092      1.585       36.84       9.209       0.01042     0.6636      0.5806      0.5032      1           
2.503       38.69       0.9955      0.3565      1.621       41.41       10.35       0.00845     0.7021      0.869       0.6604      1           
12.46       59.23       0.9631      0.1296      1.754       65.88       16.47       0.008205    0.8023      0.4958      1.086       1           
5.984       45.28       0.9638      0.136       1.451       54.91       13.73       0.007536    0.6449      1.023       0.9644      1           
4.773       73.96       0.9641      0.1637      1.913       52.16       13.04       0.005354    0.6966      0.4638      0.2124      1           
5.817       71.22       0.9842      0.251       2           48.42       12.1        0.004558    0.6468      0.769       1.013       1           
10.03       62.15       0.9863      0.1414      1.3         71.17       17.79       0.006268    0.7836      0.4787      0.8927      1           
